Energy,Optimal_Thickness,AtCoefficient
0.05,3.9108593750000005e-05,119498.89865957048
0.06,5.8701245117187506e-05,90642.45479847194
0.07,7.245635482788088e-05,70909.55968138062
0.08,8.568274399328233e-05,56606.44299461227
0.09,0.00010721844795590787,45879.151676569636
0.1,0.00013436171190613162,37720.42677027968
0.11,0.0001683826031061602,31391.94495276497
0.12,0.00019128501872907376,26521.764913615934
0.13,0.00022590788514784957,22610.9298160512
0.14,0.0002562521055567742,19503.399089524046
0.15,0.0003026267076715796,16931.474478655033
0.16,0.000343275675642943,14829.21197990073
0.17,0.0004053991526730521,13064.663180163605
0.18,0.00041242980095908537,11605.026983641183
0.19,0.000467566886923407,10347.064469821513
0.2,0.000521379669147496,9273.252772166283
0.21,0.000596084312525341,8350.739726223108
0.22,0.0006649301703477295,7549.924020939328
0.23,0.0007602272564061988,6844.3195181905185
0.24,0.0008480322644270115,6231.160282244648
0.25,0.0008088231302919289,5705.503195007528
0.26,0.001021780780989666,5216.6076496978085
0.27,0.00104121175205981,4805.032239946138
0.28,0.0011805969333791681,4424.586575732643
0.29,0.00017566286038117889,30200.068470737348
0.3,0.00018921668888223248,26764.548983479814
0.31,0.00020263788499398638,24942.254200518615
0.32,0.0002169896831715322,23599.61298118713
0.33,0.00023235755563770797,22348.46050745383
0.34,0.0002488138206872473,21074.14671475356
0.35,0.00021219403722133037,22653.78260066152
0.36,0.00020778543264865425,24894.918759880522
0.37,0.00019587400193330992,23980.934706963533
0.38,0.0002241762598200108,22574.03793616894
0.39,0.0002403162938599705,21252.86097795583
0.4,0.00025734102120726453,20053.909041493735
0.41,0.00024751653498459393,19562.24646956016
0.42,0.00027904289334890615,18479.122891941635
0.43,0.00027453229403504557,17518.851217679894
0.44,0.0003005572885911873,16608.51751663616
0.45,0.00032196371323846805,16389.914913094763
0.46,0.0003096739507481861,15611.479035332992
0.47,0.000349117554231159,14835.618879262065
0.48,0.00034347423919994514,14124.232875129781
0.49,0.00037603476291022195,13459.229104497563
0.5,0.00040281687774753954,12805.362359273506
0.51,0.0004313483269588396,12204.451650624082
0.52,0.00041488069402698726,11649.655946380406
0.53,0.00046772433541846187,11113.926350758325
0.54,0.0004601637874506255,11191.80141873529
0.55,0.0004522421644456038,10723.542451983021
0.56,0.0005109612526276757,10263.26167965753
0.57,0.0004358124021584058,9854.382352344137
0.58,0.0005351390935741885,9443.123536651845
0.59,0.0005742879581159832,9045.527565709193
0.6,0.0005523831589237539,8695.522209986584
0.61,0.0006227428831563199,8332.770961411641
0.62,0.0005311068416557747,8010.227473092008
0.63,0.0006521487786590213,7690.013528541916
0.64,0.0006998575987572509,7381.419459517326
0.65,0.0006731632541340027,7112.357449031685
0.66,0.000758907325261443,6830.943791219656
0.67,0.0006472348115549211,6588.629432499023
0.68,0.0007947429005905689,6335.2533744788325
0.69,0.0008528833852612344,6097.8390132035665
0.7,0.0006344147675993602,7839.266321789615
0.71,0.0006913538891321203,7608.589835251755
0.72,0.000658087123101755,7389.638835805484
0.73,0.0006755846806165694,7168.9489707565435
0.74,0.0007665684805379331,6938.371367599903
0.75,0.0007543826908303782,6732.624397041654
0.76,0.0007414009138704728,6515.472118130644
0.77,0.000837664891650288,6297.127888356064
0.78,0.0008242006701746068,6102.055602307149
0.79,0.0008100139962656513,5904.088920330445
0.8,0.0009151863521030012,5707.266151269134
0.81,0.0007805867157622866,5536.325138650104
0.82,0.000958491464864384,5350.503702587477
0.83,0.0009238544835995608,5192.7136636441655
0.84,0.0010417528441769813,5025.173214138556
0.85,0.0010249228156691279,4879.313265806505
0.86,0.0011220832586455822,4726.116157594064
0.87,0.001079637124589665,4594.028854104404
0.88,0.0010160093035533032,4466.375162830336
0.89,0.0011627423388846877,4335.363938582333
0.9,0.00124645514673158,4206.7610543650235
0.91,0.001198890715057449,4092.480567279563
0.92,0.0011281965404439577,3983.413425638245
0.93,0.0012911301696836319,3871.3033191810355
0.94,0.0013840863617405339,3760.284330406089
0.95,0.0013312699552320798,3662.0533759829887
0.96,0.0015008375113994654,3561.566960874876
0.97,0.0014765772815934419,3468.1675768684304
0.98,0.0014511583163318612,3376.3077296750416
0.99,0.0013684471525032427,3293.165427164532
1.0,0.001566196923263861,3203.958797425218
1.01,0.00167895885329472,3118.523434410977
1.02,0.0016148902150356348,3042.59962091966
1.03,0.0015196660833652936,2969.658156763016
1.04,0.001739135565372819,2891.6028311444516
